analyte_id,analyte_name,analyte_abbrev,analyte_code,analyte_method_code,analyte_type,analyte_format,agg_method,uom_abbrev,adod_dependency,calc_script_path,calc_desc,calc_note,analyte_desc,analyte_note
1378,"Vermiculite-Mica, x-ray pm",min_VM_x-ray_pm,VMxrpm,minVM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_vermiculite-mica_peak_class.txt",to be added,,to be added,
1379,"Vivianite, x-ray pm",min_VI_x-ray_pm,VIxrpm,minVI,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_vivianite_peak_class.txt",to be added,,to be added,
1380,"Wavellite, x-ray pm",min_WV_x-ray_pm,WVxrpm,minWV,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_wavellite_peak_class.txt",to be added,,to be added,
1381,"Weatherable Aggregates, x-ray pm",min_AR_x-ray_pm,ARxrpm,minAR,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_weatherable aggregates_peak_class.txt",to be added,,to be added,
1382,"Weatherable Mineral, x-ray pm",min_WE_x-ray_pm,WExrpm,minWE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_weatherable mineral_peak_class.txt",to be added,,to be added,
1383,"Zeolite, x-ray pm",min_ZE_x-ray_pm,ZExrpm,minZE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_zeolite_peak_class.txt",to be added,,to be added,
1384,"Zircon, x-ray pm",min_ZR_x-ray_pm,ZRxrpm,minZR,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_zircon_peak_class.txt",to be added,,to be added,
1385,"Zoisite, x-ray pm",min_ZO_x-ray_pm,ZOxrpm,minZO,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_zoisite_peak_class.txt",to be added,,to be added,
1386,"Aegirine-Augite, x-ray pm",min_AI_x-ray_pm,AIxrpm,minAI,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_aegirine-augite_peak_class.txt",to be added,,to be added,
1387,"Allophane, x-ray pm",min_AL_x-ray_pm,ALxrpm,minAL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_allophane_peak_class.txt",to be added,,to be added,
1388,"Cobaltite, x-ray pm",min_CE_x-ray_pm,CExrpm,minCE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_cobaltite_peak_class.txt",to be added,,to be added,
1389,"Halite, x-ray pm",min_HA_x-ray_pm,HAxrpm,minHA,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_halite_peak_class.txt",to be added,,to be added,
1390,"Illite (Hydromuscovite), x-ray pm",min_IL_x-ray_pm,ILxrpm,minIL,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_illite (hydromuscovite)_peak_class.txt",to be added,,to be added,
1391,"Analcime, x-ray pm",min_LC_x-ray_pm,LCxrpm,minLC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_analcime_peak_class.txt",to be added,,to be added,
1392,"Lepidocrocite, x-ray pm",min_LE_x-ray_pm,LExrpm,minLE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_lepidocrocite_peak_class.txt",to be added,,to be added,
1393,"Leucite, x-ray pm",min_LI_x-ray_pm,LIxrpm,minLI,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_leucite_peak_class.txt",to be added,,to be added,
411,"Zinc, Total",zn_tot,Zn_tot,Zn,F,6,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_zinc.txt",To Be Added,,Total Zn is the zinc measured after total dissolution of a size fraction of soil material. It is stored and reported as milligrams per kilogram on the base of the size fraction used.,
412,"Zirconium, Total",zr_tot,Zr_tot,Zr,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Total_Analysis\total_analysis,_zirconium.txt",To Be Added,,Total Zr is the zirconium measured after total dissolution of a size fraction of soil material. It is stored as elemental percent and reported a s percent oxide on the base of the size fraction used.,
413,"Water Retention, 0.06 Bar, <2mm Sieve",w6l2,W6L2,W06bar,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",to be added,,"0.06 bar water, <2mm fraction is the gravimetric percent water held by <2 mm samples equilibrated at 0.06 bar water tension. It is reported on a <2 mm base.",
414,"Water Retention, 1/10 Bar, <2mm Sieve, Air-dry",w10l2,W10L2,W10bar,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",to be added,,"1/10 bar water, <2mm fraction is the gravimetric water content of air dry <2 mm samples, after equilibration at 1/10 bar water tension. It is reported on a <2 mm base. In sands, this value approximates field capacity.",
415,"Water Retention, 1/3 Bar, <2mm Sieve",w32l2,W33L2,W33bar,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",to be added,,1/3 bar water <2 mm sieved is the gravimetric percent water in sieved <2 mm samples after equilibration at 1/3 bar water tension. It is reported on a <2 mm base.,
416,"Water Retention, 1 Bar, <2mm Sieve, Air-dry",w1bl2,W1BL2,W1bar,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",to be added,,"1 bar water, <2mm sieved, airdry is the gravimetric water content of <2 mm sieved air dry samples after equilibration at 1 bar water tension. It is reported on a <2 mm base.",
417,"Water Retention, 15 Bar, <2mm, Air-dry",w15l2,W15L2,W15bar,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",To Be Added,,"15 bar water on air dry soil is the gravimetric water content of <2 mm air dry samples after equilibration at 15 bars water tension. It is reported on a <2 mm base. The value is influenced by clay %, mineralogy, and organic carbon %.",
1145,"Acetate, water extract",oac_watx,OAc_wx,OAc,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_acetate.txt",TO Be Added,,The acetate anion in the water extract.,
1146,"Boron, water extract",b_watx,B_wx,B,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_boron.txt",To Be Added,,Boron in the water extract.,
1147,"Bromide, water extract",br_watx,Br_wx,Br,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_br.txt",to be added,,The bromide anion in the water extract.,
1148,"Chloride, water extract",cl_watx,Cl_wx,Cl,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_cl.txt",To Be Added,,Chloride in the water extract. It is reported as meq per liter of extract.,
1149,"Fluoride, water extract",fl_watx,F_wx,F,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_f.txt",To Be Added,,Fluoride in the water extract. It is reported as meq per liter of extract.,
1150,"Nitrate, water extract",no3_N_watx,NO3_wx,NO3N,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_no3.txt",To Be Added,,Nitrate in the water extract. It is reported as meq per liter of extract.,
1151,"Nitrite, water extract",no2_N_watx,NO2_wx,NO2N,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_no2.txt",To Be Added,,Nitrite in the water extract. It is reported as meq per liter of extract.,
1152,"Phosphate, Water Extract",po4_watx,PO4_wx,PO4,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_po4.txt",To Be Added,,PO4 in the water extract. It is reported as meq per liter of extract.,
1153,"Sulfate, water extract",so4_watx,SO4_wx,SO4,F,5.1,mean,µg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_so4.txt",To Be Added,,Sulfate in the water extract. It is reported as meq per liter of extract.,
1156,"pH, Water Extract",ph_watx,pH_wx,pHwx,F,3.1,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\water_extract,_ph.txt",To Be Added,,"The pH, water extract is the pH of the solution extracted from the sample with water. It is used as an indicator of the irrigated pH of soils with water.",
1394,"Montmorillonite-Chlorite, x-ray pm",min_MC_x-ray_pm,MCxrpm,minMC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_montmorillonite-chlorite_peak_class.txt",to be added,,to be added,
1395,"Maghemite, x-ray pm",min_MH_x-ray_pm,MHxrpm,minMH,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_maghemite_peak_class.txt",to be added,,to be added,
1396,"Montmorillonite-Mica, x-ray pm",min_MM_x-ray_pm,MMxrpm,minMM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_montmorillonite-mica_peak_class.txt",to be added,,to be added,
1397,"Montmorillonite-Vermiculite, x-ray pm",min_MV_x-ray_pm,MVxrpm,minMV,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_montmorillonite-vermiculite_peak_class.txt",to be added,,to be added,
1398,"Palagonite, x-ray pm",min_PA_x-ray_pm,PAxrpm,minPA,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_palagonite_peak_class.txt",to be added,,to be added,
1399,"Palygorskite, x-ray pm",min_PG_x-ray_pm,PGxrpm,minPG,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_palygorskite_peak_class.txt",to be added,,to be added,
1400,"Scapolite, x-ray pm",min_SC_x-ray_pm,SCxrpm,minSC,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_scapolite_peak_class.txt",to be added,,to be added,
1401,"Sepiolite, x-ray pm",min_SE_x-ray_pm,SExrpm,minSE,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_sepiolite_peak_class.txt",to be added,,to be added,
1402,"Smectite, x-ray pm",min_SM_x-ray_pm,SMxrpm,minSM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_smectite_peak_class.txt",to be added,,to be added,
1403,"Tridymite, x-ray pm",min_TD_x-ray_pm,TDxrpm,minTD,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_tridymite_peak_class.txt",to be added,,to be added,
1404,"Thenardite, x-ray pm",min_TH_x-ray_pm,THxrpm,minTH,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_thenardite_peak_class.txt",to be added,,to be added,
1405,"Pumice, x-ray pm",min_PM_x-ray_pm,PMxrpm,minPM,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-raypm,_pumice_peak_class.txt",to be added,,to be added,
1406,"p-nitrophenol, ß-Glucosidase",PNitroBGlu,PNGluc,PNGlucos,I,3,mean,mg/kg/hr,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Biology\p-nitrophenol.txt,(treated_dil_ratio * treated_absorbance / treated_smp_wt) - (control_dil_ratio * control_absorbance / control_smp_wt)* ADRATIO / incubation_hrs,,The p-nitrophenol content based on ß-Glucosidase calibration.,
1407,"Serpentine, x-ray",min_SZ_x-ray,SZxray,minSZ,C,4,concat,peak_size,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\X-ray\x-ray,_serpentine_peak_class.txt",to be added,,to be added,
1408,"Carbon, hpom",Chpom,Chpom,Chpom,F,6.2,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Biology\hpom_c.txt,hpom_c*((hpom_dish_wt-dish_tare)/smp_wt)*ADRATIO,,The carbon content of the particulate organic matter (>53 micron),
226,"Resistant Minerals, petro_count",min_RE_petro_count,RE_pc,minRE,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_resistant_minerals_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
227,"Rhodochrosite, petro_count",min_RO_petro_count,RO_pc,minRO,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_rhodochrosite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
228,"Riebeckite (Blue Amphibole), petro_count",min_RB_petro_count,RB_pc,minRB,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_riebeckite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
229,"Rutile, petro_count",min_RU_petro_count,RU_pc,minRU,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_rutile_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
230,"Sanidine, petro_count",min_FS_petro_count,FS_pc,minFS,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sanidine_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
231,"Sericite, petro_count",min_SR_petro_count,SR_pc,minSR,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sericite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
232,"Siderite, petro_count",min_SI_petro_count,SI_pc,minSI,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_siderite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
233,"Siliceous Aggregates, petro_count",min_SA_petro_count,SA_pc,minSA,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_siliceous_aggreggates_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
234,"Sillimanite, petro_count",min_SL_petro_count,SL_pc,minSL,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sillimanite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
235,"Sphalerite, petro_count",min_SG_petro_count,SG_pc,minSG,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sphalerite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
236,"Sphene, petro_count",min_SP_petro_count,SP_pc,minSP,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sphene_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
237,"Spinel, petro_count",min_SN_petro_count,SN_pc,minSN,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_spinel_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
238,"Sponge Spicule, petro_count",min_SS_petro_count,SS_pc,minSS,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sponge_spicule_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
239,"Staurolite, petro_count",min_SO_petro_count,SO_pc,minSO,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_staurolite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
240,"Stilbite, petro_count",min_ST_petro_count,ST_pc,minST,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_stilbite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
241,"Sulphur, petro_count",min_SU_petro_count,SU_pc,minSU,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_sulfur_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
242,"Talc, petro_count",min_TA_petro_count,TA_pc,minTA,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_talc_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
243,"Topaz, petro_count",min_TP_petro_count,TP_pc,minTP,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_topaz_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
244,"Tourmaline, petro_count",min_TM_petro_count,TM_pc,minTM,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_tourmaline_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
245,"Tremolite, petro_count",min_TE_petro_count,TE_pc,minTE,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_tremolite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
246,"Vermiculite, petro_count",min_VR_petro_count,VR_pc,minVR,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_vermiculite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
247,"Vermiculite-Chlorite, petro_count",min_VC_petro_count,VC_pc,minVC,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_vermiculite-chlorite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
248,"Vermiculite-Hydrobiotite, petro_count",min_VH_petro_count,VH_pc,minVH,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_vermiculite-hydrobiotite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
249,"Vermiculite-Mica, petro_count",min_VM_petro_count,VM_pc,minVM,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_vermiculite-mica_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
250,"Vivianite, petro_count",min_VI_petro_count,VI_pc,minVI,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_vivianite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
251,"Wavellite, petro_count",min_WV_petro_count,WV_pc,minWV,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_wavellite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
252,"Weatherable Aggregates, petro_count",min_AR_petro_count,AR_pc,minAR,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_weatherable_aggregates_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
253,"Weatherable Mineral, petro_count",min_WE_petro_count,WE_pc,minWE,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_weatherable_mineral_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
254,"Zeolite, petro_count",min_ZE_petro_count,ZE_pc,minZE,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_zeolite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
255,"Zircon, petro_count",min_ZR_petro_count,ZR_pc,minZR,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_zircon_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
256,"Zoisite, petro_count",min_ZO_petro_count,ZO_pc,minZO,I,3,mean,count,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Optical\Grain_Count\grain_count,_zoisite_percent.txt",OUTPUT = 100.0 * mineral_count / total_count,,to be added,
258,"Color, Pyrophosphate Extract",pyr_col,ColrPy,ColorP,C,10,concat,(NA),0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Histosol\pyrophosphate_color.txt,To Be Added,,"The Munsell color of the pyrophosphate extract of organic material provides information on the nature of the material. Light colors are associated with fibric materials, and darker colors with sapric materials.",
259,"Fiber, Rubbed",fib_rb,Fibrub,FibRub,F,3,mean,% vol,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Histosol\rubbed_fiber_percent.txt,To Be Added,,Rubbed fiber is an approximate measure of the fibric portion of the organic matter in a sample. It is reported as a volume percent of the sample.,
260,"Fiber, Unrubbed",fib_urb,Fiburb,FibURb,F,3,mean,% vol,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Histosol\unrubbed_fiber_percent.txt,To Be Added,,Unrubbed fiber is an approximate measure of the fibric and hemic portions of the organic matter in a sample. It is reported as a volume percent of the sample.,
262,Particle density <2 mm,pd_l2,PD_L2,PDl2,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Particle_Density\particle_density.txt,to be added,,"Particle density <2mm fraction is the density of the <2 mm diameter particles. It is reported as grams per cubic centimeter of particles. If blank, a value of 2.65 g/cc is assumed for calculations.",
263,Particle density >2 mm,pd_g2,PD_G2,PDg2,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Particle_Density\particle_density.txt,to be added,,Particle density >2mm is the density of the >2 mm diameter particles. It is reported as grams per cubic centimeter of particles.,
265,"pH, 1:1 Soil-KCl Suspension",ph_kcl,pH_kcl,pHkcl,F,3.1,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\pH\ph,_kcl.txt",To Be Added,,"The pH, 1:1 soil-KCl suspension is the pH of a sample measured in 1.0N KCl at a 1:1 soil:solution ratio. If the pH in KCl < pH in water, Al+++ is indicated.",
266,"pH, 1:50 Soil-NaF Suspension",ph_naf,pH_naf,pHnaf,F,3.1,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\pH\ph,_naf.txt",To Be Added,,"The pH, 1:50 soil-NaF suspension is the pH of a sample measured in 1.0N NaF at a 1:50 soil:solution ratio. If PH_NAF is > 9.4, andic materials are indicated.",
267,"pH, Oxidized (sulfidic)",ph_ox,pH_ox,pHox,F,3.1,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\pH\ph,_oxidized.txt",To Be Added,,The oxidized pH is the pH of a sample measured after incubation while saturated with distilled water. It is normally used to indicate the acid producing potential of acid sulfate materials.,
268,"pH, 1:1 Soil-Water Suspension",ph_h2o,pH_h2o,pHh2o,F,3.1,mean,(NA),0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\pH\ph,_water.txt",To Be Added,,"The pH, 1:1 soil-water suspension is the pH of a sample measured in distilled water at a 1:1 soil:solution ratio. If wider ratios increase the pH, salts are indicated.",
269,"Phosphorus, Water Soluble",p_h2o,P_h2o,P,F,6.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Phosphorus\h2o_extract,_po4.txt",To Be Added,,"The water soluble phosphorus is the fraction extracted by distilled water. It represents an attempt to approximate the P concentration in the soil solution, i.e. the mobile P.",
270,"Phosphorus, Bray-1 Extractable",p_bray1,PBray1,P,F,6.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Phosphorus\bray1,_p.txt",To Be Added,,"This is the phosphorus extractable by the Bray-1 method, reported as milligrams per kilogram on a <2 mm base. It is used as an index of plant-available phosphorus. Bray-1 extracts adsorbed P.",
271,"Phosphorus, Bray-2 Extractable",p_bray2,PBray2,P,F,6.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Phosphorus\bray2,_p.txt",To Be Added,,"This is the phosphorus extractable by the Bray-2 method, reported as milligrams per kilogram on a <2 mm base. Bray-2 extracts both adsorbed and easily acid-soluble forms of P.",
272,"Phosphorus, Citric Acid Extractable",p_citx,Pcitad,P,F,6.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Phosphorus\citric_acid_extract,_p2o5.txt",To Be Added,,"The phosphorus extractable by citric acid is an indicator of available phosphorus in the sample, reported as milligrams per kilogram on a <2 mm base.",
273,"Phosphorus, New Zealand P Retention",p_nz,P_nz,P,I,3,mean,%,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Phosphorus\new_zealand_p_retention.txt,To Be Added,,The New Zealand phosphorus retention is the gravimetric percent phosphorus removed from a solution by equilibration with a sample. It is reported on a <2 mm base. High P retention indicates andic material.,
274,"Phosphorus, Olsen Extractable",p_olsn,POlsen,P,F,6.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Phosphorus\olsen,_p.txt",To Be Added,,The Olsen extractable phosphorus is used as an indicator of available phosphorus in calcareous soil materials (pH >6).,
275,"Clay PSDA, Dith, Pipet",clay_tot_Dith,Cly_TD,Clay,F,4.1,mean,% wt,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Particle_Size\psda,_clay,_total.txt",To Be Added,,"Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction., PSDA, Dith, Pipet",
